"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_CARGO";"DS_CARGO";"QT_APTOS";"QT_SECOES";"QT_SECOES_AGREGADAS";"QT_APTOS_TOT";"QT_SECOES_TOT";"QT_COMPARECIMENTO";"QT_ABSTENCOES";"ST_VOTO_EM_TRANSITO";"QT_VOTOS_NOMINAIS";"QT_VOTOS_BRANCOS";"QT_VOTOS_NULOS";"QT_VOTOS_LEGENDA";"QT_VOTOS_PENDENTES";"QT_VOTOS_ANULADOS";"HH_ULTIMA_TOTALIZACAO";"DT_ULTIMA_TOTALIZACAO"
"24/10/2019";"18:50:13";"2018";"2";"Eleição Ordinária";"1";"297";"ELEIÇÕES GERAIS ESTADUAIS 2018";"07/10/2018";"E";"PE";"PE";"PERNAMBUCO";"24554";"ITAQUITINGA";"125";"6";"Deputado Federal";"13672";"41";"0";"13672";"41";"10553";"3119";"N";"8492";"420";"970";"671";"0";"0";"16:14:08";"07/11/2018"
"24/10/2019";"18:50:13";"2018";"2";"Eleição Ordinária";"1";"297";"ELEIÇÕES GERAIS ESTADUAIS 2018";"07/10/2018";"E";"PE";"PE";"PERNAMBUCO";"26298";"CAMARAGIBE";"127";"3";"Governador";"62561";"192";"3";"62561";"192";"56854";"5707";"N";"38342";"4401";"14111";"0";"0";"0";"16:14:21";"07/11/2018"
"24/10/2019";"18:50:13";"2018";"2";"Eleição Ordinária";"1";"297";"ELEIÇÕES GERAIS ESTADUAIS 2018";"07/10/2018";"E";"PE";"PE";"PERNAMBUCO";"24490";"ITAÍBA";"143";"7";"Deputado Estadual";"17778";"60";"6";"17778";"60";"13340";"4438";"N";"11249";"409";"680";"1002";"0";"0";"16:14:25";"07/11/2018"
"24/10/2019";"18:50:13";"2018";"2";"Eleição Ordinária";"1";"297";"ELEIÇÕES GERAIS ESTADUAIS 2018";"07/10/2018";"E";"PE";"PE";"PERNAMBUCO";"25810";"SERTÂNIA";"62";"5";"Senador";"26171";"92";"16";"26171";"92";"19451";"6720";"N";"26210";"4045";"8647";"0";"0";"0";"16:14:15";"07/11/2018"
"24/10/2019";"18:50:13";"2018";"2";"Eleição Ordinária";"1";"297";"ELEIÇÕES GERAIS ESTADUAIS 2018";"07/10/2018";"E";"PE";"PE";"PERNAMBUCO";"26034";"TERRA NOVA";"78";"5";"Senador";"7856";"26";"8";"7856";"26";"6581";"1275";"N";"9743";"787";"2632";"0";"0";"0";"16:14:11";"07/11/2018"
"24/10/2019";"18:50:13";"2018";"2";"Eleição Ordinária";"1";"297";"ELEIÇÕES GERAIS ESTADUAIS 2018";"07/10/2018";"E";"PE";"PE";"PERNAMBUCO";"24570";"JABOATÃO DOS GUARARAPES";"11";"6";"Deputado Federal";"111227";"310";"5";"111227";"310";"91285";"19942";"N";"57290";"7919";"20292";"5784";"0";"0";"16:14:26";"07/11/2018"
"24/10/2019";"18:50:13";"2018";"2";"Eleição Ordinária";"1";"297";"ELEIÇÕES GERAIS ESTADUAIS 2018";"07/10/2018";"E";"PE";"PE";"PERNAMBUCO";"25178";"PESQUEIRA";"55";"7";"Deputado Estadual";"50174";"163";"6";"50174";"163";"35958";"14216";"N";"27519";"2181";"3744";"2514";"0";"0";"16:14:11";"07/11/2018"
"24/10/2019";"18:50:13";"2018";"2";"Eleição Ordinária";"1";"297";"ELEIÇÕES GERAIS ESTADUAIS 2018";"07/10/2018";"E";"PE";"PE";"PERNAMBUCO";"25313";"RECIFE";"8";"7";"Deputado Estadual";"104561";"309";"2";"104561";"309";"91710";"12851";"N";"77478";"3928";"6542";"3762";"0";"0";"16:14:09";"07/11/2018"
"24/10/2019";"18:50:13";"2018";"2";"Eleição Ordinária";"1";"297";"ELEIÇÕES GERAIS ESTADUAIS 2018";"07/10/2018";"E";"PE";"PE";"PERNAMBUCO";"23450";"BONITO";"39";"3";"Governador";"29028";"92";"0";"29028";"92";"23351";"5677";"N";"17160";"1211";"4980";"0";"0";"0";"16:14:09";"07/11/2018"
"24/10/2019";"18:50:13";"2018";"2";"Eleição Ordinária";"1";"297";"ELEIÇÕES GERAIS ESTADUAIS 2018";"07/10/2018";"E";"PE";"PE";"PERNAMBUCO";"23108";"SANTA CRUZ";"82";"7";"Deputado Estadual";"11130";"34";"0";"11130";"34";"8702";"2428";"N";"7184";"198";"584";"736";"0";"0";"16:14:13";"07/11/2018"
"24/10/2019";"18:50:13";"2018";"2";"Eleição Ordinária";"1";"297";"ELEIÇÕES GERAIS ESTADUAIS 2018";"07/10/2018";"E";"PE";"PE";"PERNAMBUCO";"25410";"SALGADINHO";"88";"5";"Senador";"6753";"22";"0";"6753";"22";"4939";"1814";"N";"6692";"803";"2383";"0";"0";"0";"16:14:15";"07/11/2018"
"24/10/2019";"18:50:13";"2018";"2";"Eleição Ordinária";"1";"297";"ELEIÇÕES GERAIS ESTADUAIS 2018";"07/10/2018";"E";"PE";"PE";"PERNAMBUCO";"24511";"ILHA DE ITAMARACÁ";"131";"3";"Governador";"16957";"46";"0";"16957";"46";"13708";"3249";"N";"10687";"667";"2354";"0";"0";"0";"16:14:53";"07/11/2018"
"24/10/2019";"18:50:13";"2018";"2";"Eleição Ordinária";"1";"297";"ELEIÇÕES GERAIS ESTADUAIS 2018";"07/10/2018";"E";"PE";"PE";"PERNAMBUCO";"25313";"RECIFE";"3";"6";"Deputado Federal";"105622";"301";"10";"105622";"301";"92074";"13548";"N";"63638";"7333";"15991";"5112";"0";"0";"16:14:09";"07/11/2018"
"24/10/2019";"18:50:13";"2018";"2";"Eleição Ordinária";"1";"297";"ELEIÇÕES GERAIS ESTADUAIS 2018";"07/10/2018";"E";"PE";"PE";"PERNAMBUCO";"25291";"QUIPAPÁ";"47";"5";"Senador";"17830";"55";"3";"17830";"55";"11072";"6758";"N";"14105";"2482";"5557";"0";"0";"0";"16:14:53";"07/11/2018"
"24/10/2019";"18:50:13";"2018";"2";"Eleição Ordinária";"1";"297";"ELEIÇÕES GERAIS ESTADUAIS 2018";"07/10/2018";"E";"PE";"PE";"PERNAMBUCO";"23590";"CABROBÓ";"77";"7";"Deputado Estadual";"24554";"81";"0";"24554";"81";"18589";"5965";"N";"14835";"699";"1546";"1509";"0";"0";"16:14:11";"07/11/2018"
"24/10/2019";"18:50:13";"2018";"2";"Eleição Ordinária";"1";"297";"ELEIÇÕES GERAIS ESTADUAIS 2018";"07/10/2018";"E";"PE";"PE";"PERNAMBUCO";"25577";"SÃO BENEDITO DO SUL";"47";"6";"Deputado Federal";"8553";"26";"0";"8553";"26";"5377";"3176";"N";"4049";"287";"650";"391";"0";"0";"16:14:15";"07/11/2018"
"24/10/2019";"18:50:13";"2018";"2";"Eleição Ordinária";"1";"297";"ELEIÇÕES GERAIS ESTADUAIS 2018";"07/10/2018";"E";"PE";"PE";"PERNAMBUCO";"25135";"PAULISTA";"12";"7";"Deputado Estadual";"67665";"203";"3";"67665";"203";"60599";"7066";"N";"48692";"2763";"6404";"2740";"0";"0";"16:14:54";"07/11/2018"
"24/10/2019";"18:50:13";"2018";"2";"Eleição Ordinária";"1";"297";"ELEIÇÕES GERAIS ESTADUAIS 2018";"07/10/2018";"E";"PE";"PE";"PERNAMBUCO";"23205";"ARAÇOIABA";"85";"7";"Deputado Estadual";"14701";"43";"0";"14701";"43";"12808";"1893";"N";"10605";"586";"798";"819";"0";"0";"16:14:11";"07/11/2018"
"24/10/2019";"18:50:13";"2018";"2";"Eleição Ordinária";"1";"297";"ELEIÇÕES GERAIS ESTADUAIS 2018";"07/10/2018";"E";"PE";"PE";"PERNAMBUCO";"25313";"RECIFE";"150";"6";"Deputado Federal";"106016";"302";"27";"106016";"302";"93346";"12670";"N";"67461";"6775";"14098";"5012";"0";"0";"16:14:09";"07/11/2018"
"24/10/2019";"18:50:13";"2018";"2";"Eleição Ordinária";"1";"297";"ELEIÇÕES GERAIS ESTADUAIS 2018";"07/10/2018";"E";"PE";"PE";"PERNAMBUCO";"25151";"PEDRA";"58";"6";"Deputado Federal";"18601";"59";"1";"18601";"59";"13240";"5361";"N";"10583";"706";"1004";"947";"0";"0";"16:14:10";"07/11/2018"
